zipcode,country,state,state_full,county,latitude-zip,longitude-zip,nearest-airport,latitude-air,longitude-air,distance
11790,US,NY,New York,Suffolk,40.9068,-73.1277,KISP,40.79520035,-73.10019684,12.623086634662332
11791,US,NY,New York,Nassau,40.8146,-73.5024,KFRG,40.7288017273,-73.41339874270001,12.132177087265573
11792,US,NY,New York,Suffolk,40.952,-72.8348,K3C8,40.9151000977,-72.7919006348,5.460970300808157
11793,US,NY,New York,Nassau,40.685,-73.5103,KFRG,40.7288017273,-73.41339874270001,9.509900843811202
11794,US,NY,New York,Suffolk,40.9257,-73.1409,KISP,40.79520035,-73.10019684,14.909167683079811
11795,US,NY,New York,Suffolk,40.7117,-73.3007,KFRG,40.7288017273,-73.41339874270001,9.686193210372288
11796,US,NY,New York,Suffolk,40.732,-73.1,23N,40.758399963378906,-73.05370330810547,4.881487088999356
11797,US,NY,New York,Nassau,40.8154,-73.4716,KFRG,40.7288017273,-73.41339874270001,10.804808325223025
11798,US,NY,New York,Suffolk,40.7523,-73.3761,KFRG,40.7288017273,-73.41339874270001,4.086787560287009
11801,US,NY,New York,Nassau,40.7623,-73.523,KFRG,40.7288017273,-73.41339874270001,9.956168331457196
11802,US,NY,New York,Nassau,40.7684,-73.5251,KFRG,40.7288017273,-73.41339874270001,10.388861563148845
11803,US,NY,New York,Nassau,40.7781,-73.4816,KFRG,40.7288017273,-73.41339874270001,7.940523758917829
11804,US,NY,New York,Nassau,40.765,-73.4575,KFRG,40.7288017273,-73.41339874270001,5.477541657921592
11815,US,NY,New York,Nassau,40.7548,-73.6018,KFRG,40.7288017273,-73.41339874270001,16.13349551253661
11819,US,NY,New York,Nassau,40.7684,-73.5251,KFRG,40.7288017273,-73.41339874270001,10.388861563148845
11853,US,NY,New York,Nassau,40.792,-73.5398,KFRG,40.7288017273,-73.41339874270001,12.756235973756645
11901,US,NY,New York,Suffolk,40.9262,-72.652,03NY,40.95840072631836,-72.716796875,6.514693328792122
11930,US,NY,New York,Suffolk,40.9895,-72.0959,US-0268,41.065218,-72.092156,8.425313108745252
11931,US,NY,New York,Suffolk,40.9223,-72.6371,03NY,40.95840072631836,-72.716796875,7.8055277073137015
11932,US,NY,New York,Suffolk,40.9339,-72.3077,KHTO,40.95959854,-72.25180054,5.496118629655158
11933,US,NY,New York,Suffolk,40.9297,-72.7423,03NY,40.95840072631836,-72.716796875,3.8435905432425153
11934,US,NY,New York,Suffolk,40.7997,-72.797,49N,40.824798583984375,-72.75090026855469,4.779194568026312
11935,US,NY,New York,Suffolk,41.0139,-72.4803,21N,40.98759841918945,-72.51899719238281,4.370249216630759
11937,US,NY,New York,Suffolk,40.993,-72.179,KHTO,40.95959854,-72.25180054,7.1516496119788915
11939,US,NY,New York,Suffolk,41.1264,-72.3419,2NK3,41.15430068969727,-72.28009796142578,6.034014263235656
11940,US,NY,New York,Suffolk,40.809,-72.7538,49N,40.824798583984375,-72.75090026855469,1.7735893662117899
11941,US,NY,New York,Suffolk,40.8297,-72.7283,1N2,40.82789993286133,-72.74870300292969,1.7282868089315244
11942,US,NY,New York,Suffolk,40.8428,-72.5813,KFOK,40.8437004089,-72.6317977905,4.249010401570751
11944,US,NY,New York,Suffolk,41.1039,-72.3674,US-0767,41.071008,-72.32701800000001,4.983029624103777
11946,US,NY,New York,Suffolk,40.8726,-72.5202,KFOK,40.8437004089,-72.6317977905,9.92029274168348
11947,US,NY,New York,Suffolk,40.9223,-72.6371,03NY,40.95840072631836,-72.716796875,7.8055277073137015
11948,US,NY,New York,Suffolk,40.9674,-72.554,21N,40.98759841918945,-72.51899719238281,3.6984776849334375
11949,US,NY,New York,Suffolk,40.8421,-72.8002,49N,40.824798583984375,-72.75090026855469,4.572115283040839
11950,US,NY,New York,Suffolk,40.8064,-72.8566,KHWV,40.821899414099995,-72.86940002440001,2.03240262447942
11951,US,NY,New York,Suffolk,40.7657,-72.8537,KHWV,40.821899414099995,-72.86940002440001,6.387323412251972
11952,US,NY,New York,Suffolk,40.9943,-72.5363,21N,40.98759841918945,-72.51899719238281,1.6322752857838878
11953,US,NY,New York,Suffolk,40.8782,-72.9525,KHWV,40.821899414099995,-72.86940002440001,9.383287314392309
11954,US,NY,New York,Suffolk,41.0459,-71.944,KMTP,41.07649993896485,-71.9207992553711,3.9193344778531194
11955,US,NY,New York,Suffolk,40.8095,-72.8229,KHWV,40.821899414099995,-72.86940002440001,4.148956131396499
